Temperature, Density, Number of particles, Number of time steps, Step size
16,0.2,500,10000,0.005
Average potential energy, Pressure
-5.6888,7.7077
Radial Distribution Function
r, g(r)
16.58,0.029788
16.6,0.029981
16.62,0.029877
16.64,0.030215
16.66,0.02986
16.68,0.029935
16.7,0.030374
16.72,0.030305
16.74,0.02945
16.76,0.029667
16.78,0.029558
16.8,0.030017
16.82,0.030073
16.84,0.029878
16.86,0.029575
16.88,0.029284
16.9,0.029986
16.92,0.029183
16.94,0.029374
16.96,0.029417
16.98,0.029445
17,0.029278
17.02,0.02926
17.04,0.029863
17.06,0.029386
17.08,0.028978
17.1,0.029976
17.12,0.029068
17.14,0.028908
17.16,0.029361
17.18,0.028888
17.2,0.029366
17.22,0.029176
17.24,0.028795
17.26,0.029032
17.28,0.028617
17.3,0.028528
17.32,0.028407
17.34,0.028787
17.36,0.029036
17.38,0.028259
17.4,0.028223
17.42,0.028984
17.44,0.028627
17.46,0.028533
17.48,0.028699
17.5,0.028282
17.52,0.028265
17.54,0.028431
17.56,0.027878
17.58,0.028744
17.6,0.027786
17.62,0.027973
17.64,0.028674
17.66,0.028126
17.68,0.028482
17.7,0.028015
17.72,0.028894
17.74,0.028021
17.76,0.028091
17.78,0.028276
17.8,0.028464
17.82,0.028006
17.84,0.027748
17.86,0.028684
17.88,0.027247
17.9,0.027835
17.92,0.028193
17.94,0.027949
17.96,0.027811
17.98,0.028146
18,0.027727
18.02,0.028021
18.04,0.027494
18.06,0.02762
18.08,0.027096
18.1,0.02812
18.12,0.027464
18.14,0.027702
18.16,0.027161
18.18,0.027662
18.2,0.027344
18.22,0.027623
18.24,0.027422
18.26,0.02735
18.28,0.027259
18.3,0.027341
18.32,0.027004
18.34,0.027081
18.36,0.02771
18.38,0.027477
18.4,0.02769
18.42,0.026834
18.44,0.02749
18.46,0.027325
18.48,0.026302
18.5,0.026801
18.52,0.027171
18.54,0.026821
18.56,0.027059
18.58,0.027218
18.6,0.026727
18.62,0.026695
18.64,0.02692
18.66,0.026979
18.68,0.026671
18.7,0.026972
18.72,0.027108
18.74,0.026379
18.76,0.026951
18.78,0.026704
18.8,0.026658
18.82,0.026347
18.84,0.026431
18.86,0.026628
18.88,0.026289
18.9,0.02669
18.92,0.026294
18.94,0.02665
18.96,0.026596
18.98,0.026042
19,0.026538
19.02,0.026469
19.04,0.026087
19.06,0.026655
19.08,0.026258
19.1,0.02624
19.12,0.026586
19.14,0.026157
19.16,0.025923
19.18,0.02633
19.2,0.025888
19.22,0.026123
19.24,0.025962
19.26,0.025712
19.28,0.026037
19.3,0.025801
19.32,0.026733
19.34,0.025707
19.36,0.025488
19.38,0.025448
19.4,0.025592
19.42,0.025714
19.44,0.026111
19.46,0.026052
19.48,0.025513
19.5,0.025777
19.52,0.02567
19.54,0.025725
19.56,0.02536
19.58,0.025134
19.6,0.025375
19.62,0.025699
19.64,0.025292
19.66,0.025444
19.68,0.025696
19.7,0.025179
19.72,0.025532
19.74,0.025341
19.76,0.026087
19.78,0.024985
19.8,0.025435
19.82,0.024677
19.84,0.025199
19.86,0.025035
19.88,0.025336
19.9,0.025371
19.92,0.024916
19.94,0.024815
19.96,0.025343
19.98,0.024811
20,0.024977
20.02,0.024852
20.04,0.024648
20.06,0.024893
20.08,0.025209
20.1,0.024376
20.12,0.024414
20.14,0.02438
20.16,0.025031
20.18,0.025058
20.2,0.024965
20.22,0.024883
20.24,0.024763
20.26,0.024761
20.28,0.024361
20.3,0.024525
20.32,0.024568
20.34,0.02433
20.36,0.024717
20.38,0.024669
20.4,0.024628
20.42,0.024598
20.44,0.024294
20.46,0.024432
20.48,0.024049
20.5,0.024159
20.52,0.024575
20.54,0.024111
20.56,0.024202
20.58,0.023878
20.6,0.024058
20.62,0.024783
20.64,0.024297
20.66,0.024216
20.68,0.023954
20.7,0.023699
20.72,0.024573
20.74,0.024273
20.76,0.024166
20.78,0.024025
20.8,0.024006
20.82,0.024089
20.84,0.024043
20.86,0.024015
20.88,0.023807
20.9,0.02355
20.92,0.023984
20.94,0.023825
20.96,0.023842
20.98,0.023514
21,0.023535
21.02,0.023886
21.04,0.023645
21.06,0.023948
21.08,0.023909
21.1,0.023544
21.12,0.023551
21.14,0.023746
21.16,0.023831
21.18,0.023831
